molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,angle_bin,dist_bin,overlap_bin
mol_0,0,69.80592929249156,1.2427110044613587,0.9225538174933493,7.127347628676463,7.018173094145701,117.88066507312307,39.462040977933036,144.50204,"interplane_distance unreliable at angle 69.8 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_1,0,64.2579675051707,7.446096147272106,0.0,9.662923328113498,6.158550106200282,117.56687655248095,39.927897979813295,146.83623,interplane_distance unreliable at angle 64.3 deg (>50 deg),0.0,monomer,60-80,>7.0,0-10%
mol_2,0,52.50690065800552,7.038256150492869,0.0,11.952471699820084,9.660462209182814,117.93303086133298,39.55872930111074,150.12035,interplane_distance unreliable at angle 52.5 deg (>50 deg),0.0,monomer,40-60,>7.0,0-10%
mol_3,0,28.69622232659838,9.338337141857606,63.70130129453674,10.102955469316887,3.8555373996374005,118.26476742585939,39.67130710162718,145.35172,,0.0,monomer,20-40,>7.0,50-70%
mol_4,0,32.26823506607851,3.9320418439107416,0.0,11.99224100512494,11.32929350236523,117.73953813016327,39.54926279758981,145.86176,,0.0,monomer,20-40,3.6-4.2,0-10%
mol_5,0,87.16173920499064,1.9548743448078012,0.0,10.213900275849571,10.025079807214116,117.21465643998873,39.62650031163283,146.92313,"interplane_distance unreliable at angle 87.2 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,80-90,<3.0,0-10%
mol_6,0,55.82084873951787,5.126868299324385,10.42589823211574,8.610623543187797,6.917951954435842,117.1989944922828,39.48580802170346,148.6441,interplane_distance unreliable at angle 55.8 deg (>50 deg),0.0,monomer,40-60,5.0-7.0,10-25%
mol_7,0,51.470589472050705,8.80376462281616,0.0,12.3638485340326,8.680926162486967,117.80777613624284,39.60772906972545,149.02982,interplane_distance unreliable at angle 51.5 deg (>50 deg),0.0,monomer,40-60,>7.0,0-10%
mol_8,0,37.71429941979172,9.341163136782534,0.0,10.057679047623262,3.7282139258651807,117.72671862397405,39.60249886489751,150.50183,,0.0,monomer,20-40,>7.0,0-10%
mol_9,0,57.625190777513275,4.607721731298429,0.0,11.06626411193046,10.061366797901778,121.7721786045294,39.56507176585436,152.01279,interplane_distance unreliable at angle 57.6 deg (>50 deg),0.0,monomer,40-60,4.2-5.0,0-10%
mol_10,0,34.21145142592508,7.445834954568488,38.59758843114266,8.680702382296031,4.462525706293026,116.66078306518492,39.527218733644915,152.19781,,0.0,monomer,20-40,>7.0,25-40%
mol_11,0,70.12960973203909,2.484163686003437,0.0,8.395202006801265,8.01924856306012,120.64779977167895,39.56233255742042,153.46342,interplane_distance unreliable at angle 70.1 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
mol_12,0,56.290950422452994,4.7330558826467675,15.917517117025472,8.948192566937749,7.593966830763932,122.64025827677673,39.54428736975915,153.50148,interplane_distance unreliable at angle 56.3 deg (>50 deg),0.0,monomer,40-60,4.2-5.0,10-25%
mol_13,0,75.19387921443798,7.727313864347844,19.030389320144536,7.837964490382692,1.3123672482798487,117.1509404187991,39.49045662378117,146.22127,interplane_distance unreliable at angle 75.2 deg (>50 deg),0.0,monomer,60-80,>7.0,10-25%
mol_14,0,66.60225254098596,6.972776750722872,0.0,10.285586506855115,7.561327540490399,117.63982419573047,39.740121634797866,150.60036,interplane_distance unreliable at angle 66.6 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_15,0,86.96802675746156,7.0541374066564035,8.826028765986628,7.460398949285486,2.428311744918857,116.77661314913527,40.380568197716364,152.56287,interplane_distance unreliable at angle 87.0 deg (>50 deg),0.0,monomer,80-90,>7.0,0-10%
mol_16,0,60.422618015266586,9.564935141310347,0.0,11.249646069321471,5.921701818525349,118.00302088957531,39.533426709903516,156.32027,interplane_distance unreliable at angle 60.4 deg (>50 deg),0.0,monomer,60-80,>7.0,0-10%
mol_17,0,35.67860703395287,4.146477052812298,0.0,9.020307980606871,8.010785486798474,118.0404202694488,39.53869911457853,157.0923,,0.0,monomer,20-40,3.6-4.2,0-10%
mol_18,0,88.09146692535047,3.079923658384014,5.908986295490748,8.518835929573946,7.942583701386247,123.36831773551573,39.588908583101166,157.27606,interplane_distance unreliable at angle 88.1 deg (>50 deg),0.0,monomer,80-90,3.0-3.6,0-10%
mol_19,0,57.62701198052448,2.4192456393064603,6.757906456158682,7.017106496270381,6.586883490444982,122.59633288934347,39.79897006910468,157.96429,interplane_distance unreliable at angle 57.6 deg (>50 deg),0.0,monomer,40-60,<3.0,0-10%
mol_20,0,68.35482085736635,5.786969110453908,0.0,6.875791220470559,3.713151413846777,122.4186611822517,39.19279329349427,158.30278,interplane_distance unreliable at angle 68.4 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_21,0,81.00822897170863,9.20684334907415,0.0,10.56225550734785,5.176415453584559,117.35389999085245,39.71558490749209,158.72371,interplane_distance unreliable at angle 81.0 deg (>50 deg),0.0,monomer,80-90,>7.0,0-10%
mol_22,0,73.4517467625997,8.153088195729298,6.052964629834367,8.531652015582912,2.5132128814844923,122.18824855450808,38.72560428810309,159.28305,interplane_distance unreliable at angle 73.5 deg (>50 deg),0.0,monomer,60-80,>7.0,0-10%
mol_23,0,36.27691023354638,4.727666810411923,45.041612329455305,5.974830129175222,3.6534588545965,115.3848773718635,39.85569124849518,160.3446,,0.0,monomer,20-40,4.2-5.0,40-50%
mol_24,0,55.30442638479689,5.831222336561673,41.68068066828099,6.902736178320883,3.6938615037768026,122.39829416818395,39.50170341968391,160.414,interplane_distance unreliable at angle 55.3 deg (>50 deg),0.0,monomer,40-60,5.0-7.0,40-50%
mol_25,0,67.73737438578956,2.9461174562032846,0.0,9.45576696439797,8.985094368967655,122.19576032693551,39.526532860203375,151.38152,interplane_distance unreliable at angle 67.7 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
mol_26,0,72.57655037153738,0.30234275005086036,0.06569813606321806,7.948746354614669,7.942994238414861,117.49365608793073,39.81019992724463,155.0813,"interplane_distance unreliable at angle 72.6 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_27,0,12.829017747716753,1.0427781855846385,0.0,9.020082190867221,8.959603584180988,118.23431138550598,39.53435053233831,155.24564,,0.0,monomer,0-20,<3.0,0-10%
mol_28,0,85.05956045349414,0.9592271930687662,0.0,8.302196217417412,8.24659597801283,117.58701028346879,39.746884867088625,155.92992,"interplane_distance unreliable at angle 85.1 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,80-90,<3.0,0-10%
mol_29,0,79.78464501284188,5.503907743901894,0.0,8.489837192049091,6.464080374973441,125.23424330899394,39.509065437325255,156.02905,interplane_distance unreliable at angle 79.8 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
